gene_symbol,uniprotkb_ac,test_disease_use,test_trade_name,test_manufacturer,test_submission,test_is_a_panel,biomarker_id,biomarker_origin,ncit_biomarker,do_name,doid,histological_type,approved_indication,actual_use,specimen_type,platform_method,test_number_genes,test_adoption_evidence,test_trial_id,test_approval_status,pmid,test_study_design,clinical_significance,biomarker_drug,biomarker_description
NAT1,P18440,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,N-Acetyltransferase 1 Gene_ NAT1_ NAT1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
NMU,P48645,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062761,Y,186,multigene prediction,Neuromedin U Gene_ NMU_ NMU Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
NUSAP1,Q9BXS6,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062721,Y,-,multigene prediction,Nucleolar and Spindle Associated Protein 1 Gene_ NUSAP1_ NUSAP1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
OXCT1,P55809,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062740,Y,-,multigene prediction,3-Oxoacid CoA-Transferase 1 Gene_ OXCT1_ OXCT1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
PGR,Q8H112,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,PGR_ PGR Gene_ PR_ Progesterone Receptor Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
PHGDH,O43175,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,PHGDH_ PHGDH Gene_ Phosphoglycerate Dehydrogenase Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
PIK3CA,P42336,Breast Cancer,Therascreen PIK3CA RGQ PCR Kit,QIAGEN GMBH,P190001_ P190004,N,,somatic mutation,Phosphatidylinositol-4_5-Bisphosphate 3-Kinase Catalytic Subunit Alpha Gene_ PIK3CA_ PIK3CA Gene,breast Cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis_ prediction_ companion diagnosis,predictive,Paraffin block,C,1,clinical use,NCT02437318,PMA,,,identifying breast cancer patients who may be eligible for treatment with PIQRAY (alpelisib) based on a PIK3CA Mutation,56649450,a real-time qualitative PCR test for the detection of 11 mutations in PIK3CA gene for eligiblity to treatment
PITRM1,Q5JRX3,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062713,Y,-,multigene prediction,Pitrilysin Metallopeptidase 1 Gene_ PITRM1_ PITRM1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
PRC1,O43663,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062725,Y,-,multigene prediction,PRC1_ PRC1 Gene_ Protein Regulator of Cytokinesis 1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
PTTG1,O95997,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,Pituitary Tumor-Transforming 1 Gene_ PTTG1_ PTTG1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
RAB6B,Q9NRW1,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062766,Y,-,multigene prediction,RAB6B_ RAB6B Gene_ RAB6B_ Member RAS Oncogene Family Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
RASSF7,Q02833,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062706,Y,-,multigene prediction,Ras Association Domain Family Member 7 Gene_ RASSF7_ RASSF7 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
RECQL5,O94762,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062727,Y,-,multigene prediction,RecQ Protein-Like 5 Gene_ RECQL5_ RECQL5 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
RFC4,P35251,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062726,Y,-,multigene prediction,Replication Factor C Subunit 4 Gene_ RFC4_ RFC4 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
RRM2,P31350,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,Ribonucleotide Reductase M2 Gene_ RRM2_ RRM2 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
RTN4RL1,Q86UN2,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062734,Y,-,multigene prediction,Reticulon 4 Receptor Like 1 Gene_ RTN4RL1_ RTN4RL1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
RUNDC1,Q96C34,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062724,Y,-,multigene prediction,RUN Domain Containing 1 Gene_ RUNDC1_ RUNDC1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
Scgb2a1,O75556,Breast Cancer,GeneSearch Breast Lymph Node (BLN) Test Kit,Veridex_ LLC.,P060017 S001-S004,Y,390,amplification,SCGB2A2_ Secretoglobin Family 2A Member 2 Gene_ Keratin 19 type-1 gene_ Krt19,breast Cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),diagnosis,diagnostic_ prognostic,Fresh Tissue,R,2,clinical use,NCT00869674,PMA,20557308_ 23322090,Pro,Overexpressed Mammaglobulin and Cytokeratin 19 are specific to breast tissue_ found in nodal tissue is indicative of metastasis_ clinical test use rapid detection of nodal metastases >0.2mm intraoperatively and treatment decision to excise additional lymph nodes,NA,From EDRN SCGB2A1 encodes a small secreted protein from the secretoglobin family_ part of the uterglobin superfamily.  SCGB2A1 is normally expressed in the thymus_ trachea_
SCUBE2,Q9NQ36,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062700,Y,-,multigene prediction,SCUBE2_ SCUBE2 Gene_ Signal Peptide_ CUB Domain_ EGF-Like 2 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
SERF1A,O75920,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062755,Y,-,multigene prediction,SERF1A_ SERF1A Gene_ Small EDRK-Rich Factor 1A Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
SFRP1,Q8N474,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,Secreted Frizzled-Related Protein 1 Gene_ SFRP1_ SFRP1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
SLC2A3,P11169,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062744,Y,820,multigene prediction,SLC2A3_ SLC2A3 Gene_ Solute Carrier Family 2 (Facilitated Glucose Transporter)_ Member 3 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
SLC39A6,Q13433,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,823,multigene prediction,SLC39A6_ SLC39A6 Gene_ Solute Carrier Family 39 (Zinc Transporter)_ Member 6 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
STK32B,Q9NY57,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062705,Y,-,multigene prediction,Serine/Threonine Kinase 32B Gene_ STK32B_ STK32B Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
TGFB3,P10600,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062696,Y,-,multigene prediction,TGFB3_ TGFB3 Gene_ Transforming Growth Factor_ Beta 3 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
Top2A,P11388,Breast Cancer,Dako TOP2A FISH PharmDx Kit,Dako Denmark A/S,P050045 S001-S004,N,-,somatic mutation,TOP2A_ Topoisomerase (DNA) II Alpha 170kDa Gene,breast Cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,F,1,clinical use,,PMA,16234514_ 22083232_ 21189395,RetObs,amplification of the Top2A gene is a marker of poor prognosis and likely metastasis of cancer following surgical excision,31703_ 4212_ 454216_ 148673_ 6918223_ 452548_ 36462_ 30323_ 10607,Top2a is a gene transcribing for topoisomerase protein involved in DNA double stranded break repair_ considered a proliferation marker
TSPYL5,Q86VY4,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062723,Y,-,multigene prediction,TSPY Like 5 Gene_ TSPYL5_ TSPYL5 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
TYMS,P04818,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,Thymidylate Synthase Gene_ TYMS_ TYMS Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
UBE2C,O00762,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,UBE2C_ UBE2C Gene_ Ubiquitin-Conjugating Enzyme E2C Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
UBE2T,Q9NPD8,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,UBE2T_ UBE2T Gene_ Ubiquitin-Conjugating Enzyme E2T Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
UCHL5,Q9Y5K5,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062762,Y,-,multigene prediction,Ubiquitin C-Terminal Hydrolase L5 Gene_ UCHL5_ UCHL5 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
AYTL2,Q8NF37,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062739,Y,-,multigene prediction,,,,,,,,,,,,,,,,,
